R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
334.85;3.19;86.07;39.87;331.78;281.58;36.54;358.95;1.83;353.41;271.23;25.21;334.17;254.15;350.34;44.97;3.75;309.47;339.8;151.29;346.1;324;48.54;311.55;276.74;153.27;271.99;4.76;123.35;294.52;74.63;329.79;64.72;329.22;333.63;298.2;61.38;39.33;88.53;294.67;34.48;74.52
333.39;357.49;81.35;40.97;341.9;277.12;36.46;52.12;342.85;151.93;268.11;16.33;338.73;249.62;344.6;46.54;14.93;303.99;324.1;149.78;328.16;325.02;47.79;311.78;278.28;157.35;273.13;8.98;123.46;298.21;80.56;327.84;66.85;330.19;321.5;293.99;61.85;33;87.39;293.08;28.85;73.02
333.22;343.96;58.97;40.92;30.28;252.77;34.21;38.59;331.75;31.17;267.32;323.2;20.18;243.5;319.92;46.31;34.8;290.83;295.6;138.83;295.6;322.71;54.55;311.1;267.66;170.29;264.09;14.98;125.48;304.6;86.63;326.35;70.71;336.08;311.1;287.86;63.63;29.97;86.88;290.06;19.38;73.51
338.21;304.75;12.36;32.09;75.13;198.86;10.64;73.05;287.45;56.57;301.74;300.19;16.9;263.21;289.09;43.05;61.57;273.19;285.12;116.28;279.44;319.54;60.34;310.36;160.54;177.5;157.75;20.96;126.81;311.25;88.23;322.21;72.52;342.47;310.03;283.63;63.29;23.93;86.19;289.76;2.6;73.77
16.86;281.23;305.77;327.82;81.75;129.96;330;57.4;236.24;63.06;19.1;289.15;31.24;275.22;266.82;26.54;90.14;247.85;283.36;85.42;272.43;318.87;63.49;309.68;112.77;171.03;109.96;26.1;126.22;316.67;88.49;323.51;76.58;349.73;310.92;277.85;61.86;20.9;84.91;290.49;339.28;74.27
74.5;347.5;270.14;306.16;39.96;95.15;319.29;29.85;211.41;56.88;50.16;282.78;46.08;284.97;251.77;25.34;84.71;227.79;286.58;72.21;267.09;316.85;52.94;305.88;115.02;169.67;113.82;24.13;127.89;316.03;88.19;324.49;81.06;355.56;312.22;274.47;62.94;20.78;84.39;289.59;338.86;74.56
90.11;11.75;274.62;301.24;14.3;91.62;319.57;15.97;203.83;49.88;63.66;275.23;49.86;288.9;246.18;21.65;86.61;218.55;288.37;68.7;267.85;310;41.44;287.8;148.18;168.66;147.4;15.77;134.74;307.58;89.88;324.92;80.98;356.16;311.68;269.87;64.06;21.41;84.35;289.44;342.03;73.68
96.02;20.47;272.63;302.69;0.8;89.18;324.26;17.11;202.4;43.82;50.55;271.88;51.74;279.88;251.02;26.94;82.5;217.28;288.37;66.04;265.88;309.13;34.51;288.1;203.88;170.05;207.44;343;137.26;288.59;81.3;335.92;89.16;356.95;315.81;266.62;65.7;23.13;86.71;288.56;356.89;76.41
98.74;34.53;276.37;310.7;340.97;85.87;338.57;17.51;208.67;31.57;5.54;284.37;39.17;273.43;265.42;32.77;70.33;229.21;289.49;82.89;269.56;313.65;30.96;292.82;259.51;163.09;260.18;337.89;130.94;268.05;76.38;318.86;81.26;353.58;319.51;281.61;66.62;3.43;91.18;287.07;54.34;78.45
88.89;40.11;279.03;320.11;359.54;95.56;18.25;11.97;256.13;3.42;295.35;346.7;349.61;263.42;317.79;45.18;15.13;268.14;309.02;135.19;303.57;312.2;39.13;297.24;268.74;150.66;267.77;335.12;123.63;264.71;70.68;306.35;79.26;347.16;323.3;287.39;64.53;344;95.63;289.57;64.55;81.64
83.65;25.67;286.9;330.19;9;109.38;24.21;336.16;268.42;347.72;300.01;357.39;354.65;269.35;322.61;44.86;5.45;270.33;317.89;137.56;310.62;312.5;37.42;298.91;269.83;149.53;269.03;334.17;119.8;263.7;69.57;301.64;79.27;345.88;322.48;286.11;63.45;346.38;96.7;290.33;67.36;83.09
84.81;29.71;288.63;331.77;359.24;109.53;25.74;351.85;269.07;348.87;299.9;357.51;354.79;271.58;320.99;44.97;4.83;268.58;317.45;138.41;308.78;312.29;38.09;298.22;271.38;149.02;270.45;332.44;118.34;261.67;68.4;297.04;80.17;345.78;321.84;285.17;63.39;342.2;97.53;290.84;72.09;84.3
84.19;31.11;289.44;332.72;357.21;109.3;26.42;351.38;269.73;347.51;299.74;357.54;354.68;272.22;320.4;45.35;5.62;267.06;316.63;139.95;306.68;312.46;38.59;296.92;272.01;146.57;270.85;329.04;114.96;257.11;68.88;294.8;80.29;346.21;321.13;283.48;63.96;337.46;97.76;290.66;75.08;84.73
82.98;45.32;284.77;327.71;347.82;101.07;17.53;107.7;256.17;60.27;305.06;344.29;186.47;284.59;303.6;38.65;36;237.21;307.38;121.46;281.06;313.95;36.75;295.33;248.4;167.85;252.67;337.09;131.47;267.97;85.68;296.49;81.95;352.9;309.36;277.43;67.38;332.19;92.74;286.43;47.83;79.46
88.37;45.97;274.61;316.5;352.35;95.92;331.04;8.87;218.24;21.13;46.5;274.05;39.61;296.15;263.16;24;56.35;200.15;295.13;85.31;260.6;312.09;34.04;296.61;186.55;169.76;193.01;341.25;137.2;272.87;87.44;293.77;88.56;17.52;304.15;264.31;69.14;345.03;90.15;287.61;37.66;77.17
69.78;354.79;265.28;320.43;32.44;98.37;336.21;25.53;230.76;39.57;21.12;288.28;41.85;256.38;271.63;25.94;55.89;229.98;297.65;114.11;283.53;308.02;30.56;296.19;271.82;159.45;266.23;331.82;122.06;254.66;79.23;277.65;76.91;348.06;295.19;269.82;66.18;339.65;95.56;291.51;73.57;82.19
350.19;274.98;335.36;354.36;76.26;155.79;24.35;70.67;288.61;43.02;277.01;318.49;13.49;235.4;302.64;33.72;51.17;262.75;310.84;142.59;313.97;307.98;23.78;293.67;268.41;145.57;260.19;323.83;115.84;243.66;73.65;262.78;74.57;340.94;303.39;274.62;64.37;335.31;101.09;300.04;92.47;90.4
328.45;319.09;25.52;36.96;55.78;222.33;36.17;39.81;334.49;14.89;256.28;359.27;350.7;233.12;322.48;38.54;47.16;283.3;326.04;150.97;333.35;309.18;21.14;294.85;269.35;134.93;260.5;320.01;108.51;237.81;68.83;261.22;74.09;337.86;307.75;273.16;62.77;337.44;103.13;303.92;95.99;94.49
339.53;356.64;61.25;37.68;17.22;254.41;37.9;8.68;357.07;350.15;267.82;28.98;353.25;236.94;326.42;40.09;44.04;291.53;338.76;149.96;347.26;313.16;16.72;295.6;272.13;127.94;263.87;317.11;99.37;235.71;65.38;257.6;76.7;336.69;308.94;271.25;61.79;334.55;105.64;308.32;101.1;98.65
340.81;352.67;66.56;37.76;20.24;255.46;37.56;11.81;358.63;355.25;268.3;25.69;354.59;235.58;325.52;40.65;47.3;291.08;337.45;151.27;345.8;316;15.76;296.15;272.24;129.56;265;317.26;98.7;235.3;64.83;253.24;77.51;336.93;307.84;268.72;61.91;330.72;106.63;310.44;103.18;101.31
